"RasterName","EuclideanThreshold","AverageRasterValue","CostDistance"
"HD_resi.tif","50000",96.9673231475132,4848366.15737566
"HD_resi.tif","150000",96.9673231475132,14545098.472127
"HG_resi.tif","50000",90.7855206980962,4539276.03490481
"HG_resi.tif","150000",90.7855206980962,13617828.1047144
"HW_resi.tif","50000",93.5278041238662,4676390.20619331
"HW_resi.tif","150000",93.5278041238662,14029170.6185799
"LD_resi.tif","50000",77.5346270988946,3876731.35494473
"LD_resi.tif","150000",77.5346270988946,11630194.0648342
"LG_resi.tif","50000",58.8643261996382,2943216.30998191
"LG_resi.tif","150000",58.8643261996382,8829648.92994574
"LW_resi.tif","50000",76.5728246888232,3828641.23444116
"LW_resi.tif","150000",76.5728246888232,11485923.7033235
