"Species","SpecGen","AltitudeNiche","WaterNiche","Range","FutureScenario","x","y","Vulnerability","Elevation","Precipitation","Temperature","Rugosity","Corridor_Strength","Habitat_Suitability","Start_Distance","Permuted_CorridorStr","Niche","logCrStr","logPermutedCrStr","jittered_x","jittered_y","Max_resilience","local_moran_I","local_moran_p","significant_cluster","Moran_type"
"HDlong","Specialist","High","Dry","long","ssp126",-966251.888104944,2257204.91276242,5242.818359375,639,2373.1962890625,24.3340015411377,53.7691993713379,71.3680725097656,51.1927337646484,4863.62890625,28.8781280517578,"HD",4.26785060560925,3.36308449377141,-966251.888105025,2257204.91275432,0,0.0463563955216403,0.000588821394265683,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-908775.749308139,2363797.02471285,5339.26318359375,719,2254.51904296875,23.5219821929932,76.8549041748047,37.6521606445312,54.4568977355957,16892.3125,29.6157665252686,"HD",3.62839034023625,3.38830687240152,-908775.749312407,2363797.0247111,0,0.0339198804601695,0.313841767432419,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-788598.368187548,2243619.64359226,23588.0390625,69,1988.67919921875,26.5679874420166,18.6529426574707,48.985164642334,1.00412368774414,16395.345703125,64.0389404296875,"HD",3.89151748986749,4.15949134254641,-788598.368189341,2243619.64357403,0,0.0789575687152166,0.214895752104522,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-1001782.59208842,2256159.89205702,2565.43408203125,686,2404.44897460938,23.942985534668,98.8687133789062,147.899612426758,67.5586318969727,6837.279296875,36.0215187072754,"HD",4.99653374920458,3.58411650174836,-1001782.59208972,2256159.89206079,0,0.0704827322502309,0.000228752895778851,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-917135.914951311,2344986.65201572,870.8505859375,941,2209.02172851562,22.340295791626,106.417663574219,47.8100814819336,47.8313102722168,5474.1865234375,58.4207572937012,"HD",3.86723652692298,4.06767125979412,-917135.914952147,2344986.65202536,0,0.0492318334424023,0.303261421799942,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-970431.97092653,2197638.73255482,174.170120239258,895,2702.1259765625,22.2922496795654,77.36279296875,274.665710449219,85.3118362426758,2955.76489257812,55.8857498168945,"HD",5.6155547598611,4.02330942488802,-970431.970924987,2197638.73255846,0,0.0788640726363614,0.000618024961277479,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-1001782.59208842,2261384.995584,3106.76635742188,694,2326.18994140625,23.715799331665,81.0089874267578,30.4179000854492,61.4824638366699,2456.53125,290.693145751953,"HD",3.41503125372683,5.6722682288622,-1001782.5920731,2261384.99558019,0,0.0658787919994342,0.00060147224900784,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-1057168.68947444,2143297.6558742,12533.4716796875,918,3128.53857421875,21.7357692718506,96.7351913452148,40.0590972900391,20.8960151672363,13717.2734375,21.6281604766846,"HD",3.69035579603568,3.07399619135004,-1057168.68946796,2143297.6558738,0,-0.00111847307037272,0.0687183756563502,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-1028953.13042873,2264520.05770019,870.8505859375,1056,2418.63549804688,20.8650569915771,54.8717803955078,184.985275268555,36.0276298522949,1045.02075195312,16.4897403717041,"HD",5.22027622876768,2.80273839185715,-1028953.13042753,2264520.05768146,0,0.0608629617123977,0.031557835782927,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-1036268.27536651,2283330.43039733,4400.45458984375,797,2442.70239257812,22.8805179595947,41.4105339050293,20.0606651306152,82.0510940551758,1477.88244628906,94.1966934204102,"HD",2.99876093904369,4.54538507927208,-1036268.27536805,2283330.43039185,0,0.0359024318154877,0.190549394801113,FALSE,"Insignficant"
