"Species","SpecGen","AltitudeNiche","WaterNiche","Range","FutureScenario","x","y","Vulnerability","Elevation","Precipitation","Temperature","Rugosity","Corridor_Strength","Habitat_Suitability","Start_Distance","Permuted_CorridorStr","Niche","logCrStr","logPermutedCrStr","jittered_x","jittered_y","Max_resilience","local_moran_I","local_moran_p","significant_cluster","Moran_type"
"HDlong","Specialist","High","Dry","long","ssp126",-1051943.58594745,2130757.40740945,15196.6513671875,1182,3135.42041015625,20.9582138061523,51.8275413513184,22.5791683197021,13.1902027130127,9578.2529296875,74.279670715332,"HD",3.11702772543477,4.30783730345545,-1051943.58594315,2130757.40741444,0,-0.015531843083304,0.0614703476693828,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-959981.763872565,2276015.28545955,5451.89990234375,624,2181.61376953125,23.8552646636963,62.9756126403809,49.4455718994141,36.8574028015137,9751.064453125,177.991836547852,"HD",3.90087250703011,5.18173768714967,-959981.763867664,2276015.28546592,0,0.0411465032854964,0.00574610395855304,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-948486.536113204,2169423.17350911,8025.17724609375,556,3045.13745117188,24.1444053649902,89.8983764648438,17.6736717224121,30.6209850311279,4180.0830078125,288.969573974609,"HD",2.87207605888303,5.66632140220539,-948486.536106007,2169423.1735237,0,0.022487232773426,0.0420560797837932,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-978792.136569701,2236304.49865449,1435.62170410156,714,2505.56787109375,23.2573337554932,53.2674026489258,493.978454589844,88.6154327392578,2456.53125,29.3006553649902,"HD",6.2024919020462,3.37760988317868,-978792.13657518,2236304.49863895,0,0.0763369582456876,0.00045892465981377,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-972522.012337323,2180918.40126848,2185.3896484375,1072,2833.14990234375,21.8551559448242,74.1607284545898,86.4532165527344,59.1930160522461,14384.62109375,114.479682922363,"HD",4.45960341852486,4.74039736552356,-972522.012332073,2180918.40127714,0,0.0605687037432826,0.00107954392280596,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-958936.743167169,2383652.41811539,2890.39526367188,641,2063.83154296875,22.9155902862549,101.249671936035,29.1762466430664,28.8131523132324,15814.939453125,110.657775878906,"HD",3.37335490709919,4.70644233857745,-958936.743168722,2383652.41812525,0,0.0628751017102379,0.271916072511906,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-900415.583664968,2255114.87135162,5952.89697265625,432,2493.412109375,24.7241611480713,36.6706809997559,71.1165924072266,21.9315166473389,10610.8525390625,160.62370300293,"HD",4.26432067677356,5.07906438092695,-900415.583674281,2255114.87134563,0,0.0413526389135113,0.00231598672678772,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-823084.05146563,2243619.64359226,15089.1044921875,139,2193.83666992188,26.3243007659912,19.1392440795898,48.985164642334,1.07039105892181,37588.43359375,28.0490894317627,"HD",3.89151748986749,3.33395616911604,-823084.051457296,2243619.64359501,0,0.0171651411598708,0.216948222655116,FALSE,"Insignficant"
"HDlong","Specialist","High","Dry","long","ssp126",-965206.867399548,2232124.4158329,1062.26696777344,841,2543.45556640625,23.2004432678223,82.2944564819336,77.1608581542969,89.628044128418,0,20.2687110900879,"HD",4.34589230972655,3.00907837137201,-965206.867410569,2232124.41583201,0,0.0728691410888505,0.00114254291002935,TRUE,"clustering"
"HDlong","Specialist","High","Dry","long","ssp126",-993422.426445252,2145387.697285,10008.0009765625,1247,2944.46606445312,20.4400825500488,104.283790588379,16.5387744903564,18.3152694702148,8680.19921875,55.6377296447754,"HD",2.80570759315981,4.01886156185132,-993422.426447096,2145387.69728174,0,0.0110310941418491,0.0383561543246371,TRUE,"clustering"
