"Species","SpecGen","AltitudeNiche","WaterNiche","Range","FutureScenario","x","y","Vulnerability","Elevation","Precipitation","Temperature","Rugosity","Corridor_Strength","Habitat_Suitability","Start_Distance","Permuted_CorridorStr","Niche","logCrStr","logPermutedCrStr","jittered_x","jittered_y"
"HDlong","Specialist","High","Dry","long","ssp126",-1003872.63349922,2258249.93346781,1793.19104003906,857,2323.33740234375,22.6391410827637,85.5723190307617,103.454124450684,69.4074859619141,4180.0830078125,17.3437042236328,"HD",4.63912827242227,2.85322957158512,-1003872.63350414,2258249.93346996
"HDlong","Specialist","High","Dry","long","ssp126",-984017.240096684,2179873.38056308,2176.59985351562,661,2933.52514648438,23.1458950042725,93.648063659668,20.2889289855957,59.0791397094727,2456.53125,138.458053588867,"HD",3.01007536711164,4.93056741758114,-984017.240097962,2179873.38056963
"HDlong","Specialist","High","Dry","long","ssp126",-965206.867399548,2232124.4158329,1062.26696777344,841,2543.45556640625,23.2004432678223,82.2944564819336,77.1608581542969,89.628044128418,0,20.2687110900879,"HD",4.34589230972655,3.00907837137201,-965206.867410569,2232124.41583201
"HDlong","Specialist","High","Dry","long","ssp126",-1051943.58594745,2171513.21491991,4847.64501953125,860,2924.7421875,22.155553817749,68.1191940307617,44.5361976623535,52.5194664001465,5225.103515625,71.7511367797852,"HD",3.7963022891315,4.27320369813492,-1051943.5859547,2171513.2149168
"HDlong","Specialist","High","Dry","long","ssp126",-1005962.67491001,2264520.05770019,2944.54028320312,648,2380.73852539062,24.1566867828369,95.4286575317383,49.6263160705566,59.7982521057129,2955.76489257812,59.4249801635742,"HD",3.90452125896918,4.08471467944013,-1005962.6749146,2264520.05769089
"HDlong","Specialist","High","Dry","long","ssp126",-993422.426445252,2193458.64973323,2438.38159179688,922,2691.10961914062,21.8219757080078,96.975944519043,79.3713455200195,66.3185424804688,7519.599609375,17.60813331604,"HD",4.37413741546028,2.86836091552898,-993422.426461244,2193458.64973585
"HDlong","Specialist","High","Dry","long","ssp126",-919225.956362104,2444263.61902838,5791.04931640625,686,2268.5341796875,23.9627075195312,37.1105117797852,44.3323745727539,52.7669105529785,10594.654296875,28.368839263916,"HD",3.79171521314131,3.34529133377564,-919225.956354034,2444263.61902913
"HDlong","Specialist","High","Dry","long","ssp126",-1057168.68947444,2143297.6558742,12533.4716796875,918,3128.53857421875,21.7357692718506,96.7351913452148,40.0590972900391,20.8960151672363,13717.2734375,21.6281604766846,"HD",3.69035579603568,3.07399619135004,-1057168.68946796,2143297.6558738
"HDlong","Specialist","High","Dry","long","ssp126",-927586.122005275,2401417.77010713,809.940124511719,1085,2262.01953125,21.6898193359375,117.039573669434,41.7950592041016,44.408073425293,1477.88244628906,18.5593013763428,"HD",3.73277813168563,2.92097108528876,-927586.122001679,2401417.77011335
"HDlong","Specialist","High","Dry","long","ssp126",-943261.432586222,2178828.35985768,9507.021484375,369,3010.56225585938,24.4544086456299,83.1140823364258,67.1553726196289,16.6181583404541,8867.294921875,221.002212524414,"HD",4.20700892899621,5.39817271289033,-943261.432583957,2178828.35984645
"HDlong","Specialist","High","Dry","long","ssp126",-985062.26080208,2197638.73255482,1791.40661621094,1234,2655.82299804688,20.4323463439941,92.0771942138672,132.461959838867,27.8413944244385,16037.8642578125,29.3055629730225,"HD",4.88629550865074,3.3777773605619,-985062.260792161,2197638.73254797
"HDlong","Specialist","High","Dry","long","ssp126",-934901.266943051,2261384.995584,0,925,2388.45190429688,23.6732368469238,91.3473358154297,70.3414916992188,67.2046890258789,9200.2529296875,84.4954605102539,"HD",4.25336183380446,4.43669781114792,-934901.266953036,2261384.99559806
"HDlong","Specialist","High","Dry","long","ssp126",-871155.003913867,2397237.68728554,16403.607421875,548,2595.74072265625,24.3752536773682,75.3051986694336,21.7339191436768,52.719108581543,16208.845703125,43.8330955505371,"HD",3.07887413436489,3.78038913823242,-871155.003927275,2397237.68729557
"HDlong","Specialist","High","Dry","long","ssp126",-903550.645781157,2339761.54848874,4654.41650390625,435,2267.48413085938,24.1338768005371,86.9991836547852,20.9461116790771,17.1051692962646,18414.3671875,30.4179134368896,"HD",3.04195302909827,3.4150316926604,-903550.645770501,2339761.54848016
"HDlong","Specialist","High","Dry","long","ssp126",-948486.536113204,2141207.61446341,13355.9921875,953,3057.08178710938,22.7154655456543,102.48722076416,84.4916687011719,37.4654884338379,29855.767578125,23.7876510620117,"HD",4.43665293424989,3.16916658308079,-948486.536117302,2141207.61445187
"HDlong","Specialist","High","Dry","long","ssp126",-876380.107440849,2278105.32687035,1393.36096191406,883,2398.83935546875,23.282829284668,98.2390289306641,238.801834106445,73.9013137817383,19244.763671875,56.5126304626465,"HD",5.4756340620017,4.0344641611807,-876380.107438737,2278105.32687017
"HDlong","Specialist","High","Dry","long","ssp126",-971476.991631926,2193458.64973323,1915.87145996094,1050,2764.84057617188,22.562068939209,88.6696014404297,413.644592285156,80.7071304321289,2456.53125,113.085754394531,"HD",6.02500713238539,4.72814641934928,-971476.991631113,2193458.64974986
"HDlong","Specialist","High","Dry","long","ssp126",-897280.521548778,2260339.97487861,3903.79174804688,499,2446.13427734375,24.5489330291748,33.4799537658691,194.067016601562,33.3562698364258,5841.8408203125,79.3713455200195,"HD",5.26820354581026,4.37413741546028,-897280.52153771,2260339.97488117
"HDlong","Specialist","High","Dry","long","ssp126",-921315.997772897,2447398.68114457,7411.52001953125,699,2276.79028320312,23.2284297943115,85.6292419433594,30.6780548095703,58.7009620666504,6831.220703125,40.2681427001953,"HD",3.42354757193265,3.69556065262258,-921315.997780816,2447398.68113515
"HDlong","Specialist","High","Dry","long","ssp126",-945351.473997015,2173603.2563307,8497.44921875,805,2917.79516601562,23.2264976501465,80.766487121582,108.839012145996,61.5017318725586,8680.19921875,17.2728366851807,"HD",4.68986983767022,2.84913513374725,-945351.473984539,2173603.2563445
