"","x","y","Real","Observed"
"219520",118.404166666667,5.76249999999999,0,0
"857410",113.320833333333,1.59583333333333,0,0
"981468",114.895833333334,0.787499999999995,0,0
"1513971",114.845833333334,-2.6875,0,0
"1183459",116.770833333334,-0.529166666666671,0,0
"1630119",114.354166666667,-3.44583333333334,0,0
"1194546",113.3875,-0.604166666666671,0,0
"876773",115.054166666667,1.47083333333333,0,0
"932243",109.070833333333,1.10416666666666,0,0
"442901",117.620833333334,4.30416666666666,0,0
"1211587",117.054166666667,-0.712500000000005,0,0
"48261",117.229166666667,6.87916666666666,0,0
"1125199",110.145833333333,-0.154166666666671,1,1
"672050",111.695833333333,2.80416666666666,0,0
"1199388",111.170833333333,-0.637500000000005,0,0
"1369188",110.829166666667,-1.74583333333334,0,0
"608809",116.770833333334,3.22083333333333,0,0
"324101",117.295833333334,5.07916666666666,0,0
"1118895",110.820833333333,-0.112500000000005,0,0
"1143792",116.104166666667,-0.270833333333338,0,0
"1681427",116.254166666667,-3.77916666666667,0,0
"1370983",115.145833333334,-1.75416666666667,0,0
"1332166",110.920833333333,-1.50416666666667,0,0
"1074819",115.979166666667,0.179166666666662,0,0
"1191145",116.970833333334,-0.579166666666671,0,0
"401662",114.495833333334,4.57083333333333,0,0
"970603",109.4875,0.854166666666662,1,1
"1132766",109.354166666667,-0.204166666666671,1,1
"1300329",111.654166666667,-1.29583333333334,0,0
"1268630",113.5375,-1.0875,0,0
"1203145",110.554166666667,-0.662500000000005,1,1
"1659693",116.045833333334,-3.6375,0,0
"937743",112.3375,1.07083333333333,0,0
"774840",116.945833333334,2.13749999999999,0,0
"1401732",115.9875,-1.95416666666667,0,0
"1466927",116.554166666667,-2.37916666666667,0,0
"399381",116.770833333334,4.58749999999999,0,0
"769637",116.154166666667,2.17083333333333,0,0
"1449938",113.320833333333,-2.27083333333334,0,0
"1595421",112.529166666667,-3.22083333333334,0,0
"914551",110.620833333333,1.22083333333333,0,0
"1255445",110.079166666667,-1.00416666666667,0,0
"1178219",115.670833333334,-0.495833333333338,0,0
"1151448",116.054166666667,-0.320833333333338,0,0
"1587783",112.729166666667,-3.17083333333334,0,0
"265373",117.4125,5.46249999999999,0,0
"1584089",113.870833333333,-3.14583333333334,0,0
"1263414",112.6375,-1.05416666666667,0,0
"533214",114.670833333334,3.71249999999999,0,0
"704678",117.554166666667,2.59583333333333,0,0
"991043",109.554166666667,0.720833333333328,0,0
"1458872",113.279166666667,-2.32916666666667,0,0
"806238",112.554166666667,1.92916666666666,0,0
"1441082",114.0125,-2.2125,0,0
"267893",117.129166666667,5.44583333333333,0,0
"1379725",113.504166666667,-1.8125,0,0
"1265622",109.754166666667,-1.07083333333334,0,0
"1082302",114.4875,0.129166666666662,0,0
"326672",117.4375,5.06249999999999,0,0
"1549709",114.695833333334,-2.92083333333334,0,0
"1305366",111.0625,-1.32916666666667,1,1
"1077923",109.920833333333,0.154166666666661,1,1
"831822",112.920833333333,1.76249999999999,0,0
"1021286",116.820833333334,0.529166666666661,0,0
"981466",114.879166666667,0.787499999999995,0,0
"882226",117.929166666667,1.43749999999999,0,0
"1415496",113.629166666667,-2.04583333333334,0,0
"459169",114.845833333334,4.19583333333333,0,0
"1204441",110.7125,-0.670833333333338,1,1
"1572740",115.070833333334,-3.07083333333334,0,0
"651924",114.245833333334,2.93749999999999,0,0
"298601",117.629166666667,5.24583333333333,1,1
