"","x","y","Real","Observed"
"940856",116.995833333334,1.05416666666666,0,0
"748612",111.2125,2.30416666666666,0,0
"264178",118.095833333334,5.47083333333333,0,0
"141499",117.370833333334,6.27083333333333,0,0
"774714",115.895833333334,2.13749999999999,0,0
"1645556",115.295833333334,-3.54583333333334,0,0
"1160170",114.245833333334,-0.379166666666672,0,0
"929927",111.054166666667,1.12083333333333,0,0
"931267",111.579166666667,1.11249999999999,0,0
"1255909",113.945833333333,-1.00416666666667,0,0
"759235",114.604166666667,2.23749999999999,0,0
"1639268",116.104166666667,-3.50416666666667,0,0
"826800",113.6375,1.79583333333333,0,0
"1562437",114.345833333334,-3.00416666666667,0,0
"1337428",112.204166666667,-1.5375,0,0
"381391",115.8375,4.70416666666666,1,1
"1430523",111.154166666667,-2.14583333333334,0,0
"1256019",114.8625,-1.00416666666667,0,0
"1621390",116.104166666667,-3.3875,0,0
"312569",116.970833333334,5.15416666666666,1,1
"416028",117.154166666667,4.47916666666666,1,1
"1395098",113.9125,-1.9125,0,0
"423601",116.4125,4.42916666666666,0,0
"1138233",112.345833333333,-0.237500000000005,0,0
"1194325",111.545833333333,-0.604166666666671,0,0
"407139",117.570833333334,4.53749999999999,0,0
"862949",116.9125,1.56249999999999,0,0
"1460323",114.729166666667,-2.3375,0,0
"1033600",113.020833333333,0.445833333333328,0,0
"931930",117.104166666667,1.11249999999999,0,0
"1290222",112.5625,-1.22916666666667,0,0
"779505",113.254166666667,2.10416666666666,0,0
"86593",117.4125,6.62916666666666,0,0
"1054291",115.179166666667,0.312499999999995,0,0
"1421609",111.3625,-2.0875,0,0
"1315797",112.854166666667,-1.39583333333334,0,0
"1002530",109.504166666667,0.645833333333329,0,0
"1486873",112.504166666667,-2.5125,0,0
"482221",115.395833333334,4.04583333333333,1,1
"1333997",115.5375,-1.5125,0,0
"1561260",115.179166666667,-2.99583333333334,0,0
"1148975",116.729166666667,-0.304166666666672,0,0
"1590270",112.170833333333,-3.1875,0,0
"1022554",116.745833333334,0.520833333333329,0,0
"487579",117.479166666667,4.01249999999999,0,0
"963138",111.129166666667,0.904166666666661,0,0
"606322",117.329166666667,3.23749999999999,0,0
"1050648",116.745833333334,0.337499999999995,0,0
"865288",115.120833333334,1.54583333333333,0,0
"794997",114.654166666667,2.00416666666666,0,0
"390321",115.7625,4.64583333333333,0,0
"1315579",111.0375,-1.39583333333334,0,0
"813256",117.829166666667,1.88749999999999,0,0
"281847",116.354166666667,5.35416666666666,0,0
"1262024",111.695833333333,-1.04583333333334,0,0
"1095206",115.604166666667,0.0458333333333281,0,0
"1270075",114.9375,-1.09583333333334,0,0
"1504786",112.795833333333,-2.62916666666667,0,0
"821527",112.2625,1.82916666666666,0,0
"1122011",115.504166666667,-0.129166666666672,0,0
"1235322",112.654166666667,-0.870833333333338,0,0
"1120555",114.0125,-0.120833333333338,0,0
"891773",112.354166666667,1.37083333333333,0,0
"1406333",111.7625,-1.98750000000001,0,0
"1012876",110.5875,0.579166666666661,0,0
"381452",116.345833333334,4.70416666666666,0,0
"609766",114.104166666667,3.21249999999999,0,0
"1483276",114.454166666667,-2.48750000000001,0,0
"560357",117.3875,3.53749999999999,0,0
"114630",116.9375,6.44583333333333,1,1
"1343008",116.1375,-1.57083333333334,0,0
"491332",116.829166666667,3.98749999999999,0,0
"991481",113.204166666667,0.720833333333328,0,0
"1559744",113.1875,-2.9875,0,0
"849861",114.2625,1.64583333333333,0,0
"1127266",116.729166666667,-0.162500000000005,0,0
"871071",110.104166666667,1.50416666666666,0,0
"733433",112.420833333333,2.40416666666666,0,0
"1190227",109.320833333333,-0.579166666666671,0,0
"429950",116.1125,4.38749999999999,1,1
"526950",115.679166666667,3.75416666666666,0,0
"1619892",114.2625,-3.37916666666667,0,0
"1418259",115.370833333334,-2.0625,0,0
"850948",112.679166666667,1.63749999999999,0,0
"844288",110.3875,1.67916666666666,0,0
"1181963",114.945833333334,-0.520833333333338,0,0
"685183",114.720833333334,2.72083333333333,0,0
"1533239",115.7875,-2.8125,0,0
"603765",117.304166666667,3.25416666666666,0,0
"366163",116.6375,4.80416666666666,0,0
"1012412",117.3625,0.587499999999995,0,0
"1556081",114.5875,-2.9625,0,0
"1044767",110.304166666667,0.370833333333328,0,0
"1161571",115.279166666667,-0.387500000000005,0,0
"1589366",115.279166666667,-3.17916666666667,0,0
"585921",117.5875,3.37083333333333,0,0
"1018730",116.804166666667,0.545833333333328,0,0
"1417765",111.254166666667,-2.0625,0,0
"232267",118.2125,5.67916666666666,0,0
"719877",116.5125,2.49583333333333,0,0
"959431",112.1625,0.929166666666662,0,0
"379985",114.7625,4.71249999999999,0,0
"1462766",113.804166666667,-2.35416666666667,0,0
"779669",114.620833333334,2.10416666666666,0,0
"565192",115.1125,3.50416666666666,0,0
"970874",111.745833333333,0.854166666666662,0,0
"1282921",115.570833333334,-1.17916666666667,0,0
"765416",112.904166666667,2.19583333333333,0,0
"869294",116.579166666667,1.52083333333333,0,0
"1635272",114.729166666667,-3.47916666666667,0,0
"773297",114.729166666667,2.14583333333333,0,0
"1001964",115.429166666667,0.654166666666661,0,0
"421125",117.0625,4.44583333333333,0,0
"1215060",114.070833333333,-0.737500000000004,0,0
"597299",116.629166666667,3.29583333333333,0,0
"1339153",115.9375,-1.54583333333334,0,0
"627895",116.195833333334,3.09583333333333,0,0
"991887",116.5875,0.720833333333328,0,0
"857759",116.229166666667,1.59583333333333,0,0
"1505215",116.370833333334,-2.62916666666667,0,0
"1364661",115.670833333334,-1.7125,0,0
"534525",114.954166666667,3.70416666666666,0,0
"1134084",109.695833333333,-0.212500000000005,0,0
"678835",115.029166666667,2.76249999999999,0,0
"808728",112.020833333333,1.91249999999999,0,0
"709606",116.054166666667,2.56249999999999,0,0
"1145666",110.4375,-0.287500000000005,0,0
"1613451",113.795833333333,-3.3375,0,0
"837315",116.129166666667,1.72916666666666,0,0
"823285",116.270833333334,1.82083333333333,0,0
"1209000",116.779166666667,-0.695833333333338,0,0
"774324",112.645833333333,2.13749999999999,0,0
"1438307",112.170833333333,-2.19583333333334,0,0
"876998",116.929166666667,1.47083333333333,0,0
"843843",117.320833333334,1.68749999999999,0,0
"1153364",110.7375,-0.337500000000005,0,0
"838621",116.370833333334,1.72083333333333,0,0
"885888",116.520833333334,1.4125,0,0
"898105",111.9125,1.32916666666666,0,0
"672066",111.829166666667,2.80416666666666,0,0
"883940",110.929166666667,1.42083333333333,0,0
"1456247",112.6875,-2.3125,0,0
"209066",116.420833333334,5.82916666666666,0,0
"1603262",114.020833333333,-3.27083333333334,0,0
"897530",117.7625,1.3375,0,0
"896010",115.7375,1.34583333333333,0,0
"1166022",109.804166666667,-0.420833333333338,0,0
"625390",116.604166666667,3.11249999999999,0,0
"307306",115.679166666667,5.18749999999999,0,0
"988533",109.920833333333,0.737499999999995,0,0
"1168839",111.995833333333,-0.437500000000004,0,0
"1350344",113.420833333333,-1.62083333333334,0,0
"1514769",110.854166666667,-2.69583333333334,0,0
"1014766",115.695833333334,0.570833333333328,0,0
"552455",115.3875,3.58749999999999,0,0
"554781",113.4875,3.57083333333333,0,0
"615132",116.254166666667,3.17916666666666,0,0
"1589355",115.1875,-3.17916666666667,0,0
"1269549",110.554166666667,-1.09583333333334,0,0
"1475669",114.9125,-2.4375,0,0
"1163447",109.629166666667,-0.404166666666671,0,0
"658559",116.329166666667,2.89583333333333,0,0
"1649443",115.7625,-3.57083333333334,0,0
"1133330",114.054166666667,-0.204166666666671,0,0
"1103005",116.745833333334,-0.00416666666667176,0,0
"892190",115.829166666667,1.37083333333333,0,0
"1521082",110.254166666667,-2.7375,0,0
"1064335",113.745833333333,0.245833333333328,0,0
"1328660",113.629166666667,-1.47916666666667,0,0
"1273808",114.120833333334,-1.12083333333334,0,0
"1223085",117.095833333334,-0.787500000000005,0,0
"672539",115.770833333334,2.80416666666666,0,0
"1551025",115.020833333334,-2.92916666666667,0,0
"625109",114.2625,3.11249999999999,0,0
"1250863",114.4625,-0.970833333333338,0,0
"1026802",109.579166666667,0.487499999999995,0,0
"1084502",111.5375,0.112499999999995,0,0
"715470",111.7125,2.52083333333333,0,0
"1488541",115.7625,-2.52083333333334,1,1
"1575170",114.0375,-3.0875,0,0
"1173796",110.7375,-0.470833333333338,0,0
"1228979",113.004166666667,-0.829166666666672,0,0
"1429643",114.4625,-2.1375,0,0
"241063",117.020833333334,5.62083333333333,1,1
"1393992",115.3375,-1.90416666666667,0,0
"1288960",112.6875,-1.22083333333334,0,0
"814083",114.079166666667,1.87916666666666,0,0
"976545",116.4375,0.820833333333328,0,0
"833439",115.754166666667,1.75416666666666,0,0
"1187368",117.420833333334,-0.554166666666672,0,0
"769820",117.679166666667,2.17083333333333,0,0
"953034",112.0625,0.970833333333328,0,0
"819176",113.954166666667,1.84583333333333,0,0
"597342",116.9875,3.29583333333333,0,0
"1004367",114.170833333334,0.637499999999995,0,0
"1258765",116.4625,-1.02083333333334,0,0
"754269",115.7875,2.27083333333333,0,0
"1059113",112.795833333333,0.279166666666661,0,0
"649721",117.170833333334,2.95416666666666,0,0
"1614994",116.0125,-3.34583333333334,0,0
"1145678",110.5375,-0.287500000000005,0,0
"204088",117.504166666667,5.86249999999999,0,0
"925410",115.979166666667,1.15416666666666,0,0
"1181714",112.870833333333,-0.520833333333338,0,0
"649584",116.029166666667,2.95416666666666,0,0
"874016",113.3625,1.48749999999999,0,0
"1323432",112.629166666667,-1.44583333333334,0,0
"1122201",117.0875,-0.129166666666672,0,0
"1540584",113.145833333333,-2.8625,0,0
"1215831",109.854166666667,-0.745833333333338,0,0
"1546782",111.5875,-2.90416666666667,0,0
"1175194",111.745833333333,-0.479166666666671,0,0
"880233",111.9625,1.44583333333333,0,0
"285924",118.404166666667,5.32916666666666,0,0
"963332",112.745833333333,0.904166666666661,0,0
"1107763",113.829166666667,-0.037500000000005,0,0
"762076",116.995833333334,2.22083333333333,0,0
"1435854",113.0125,-2.17916666666667,0,0
"347101",117.4125,4.92916666666666,0,0
"1211397",115.470833333334,-0.712500000000005,0,0
"1063861",109.795833333333,0.245833333333328,0,0
"1580411",115.145833333334,-3.12083333333334,0,0
"885521",113.4625,1.4125,0,0
"788355",112.5125,2.04583333333333,0,0
