"","x","y","Real","Observed"
"1125982",116.670833333334,-0.154166666666671,0,0
"1219290",117.395833333334,-0.762500000000005,0,0
"1086489",117.454166666667,0.104166666666662,0,0
"941211",109.3125,1.04583333333333,0,0
"1611191",116.245833333334,-3.32083333333334,0,0
"895934",115.104166666667,1.34583333333333,0,0
"1625104",115.129166666667,-3.4125,0,0
"850552",109.379166666667,1.63749999999999,0,0
"438905",116.245833333334,4.32916666666666,0,0
"1349989",110.4625,-1.62083333333334,0,0
"720027",117.7625,2.49583333333333,0,0
"210425",117.104166666667,5.82083333333333,0,0
"1304262",112.504166666667,-1.32083333333334,0,0
"935073",111.370833333333,1.0875,0,0
"1428300",113.9125,-2.12916666666667,0,0
"1039553",109.420833333333,0.404166666666661,0,0
"1301822",113.454166666667,-1.30416666666667,0,0
"691853",117.095833333334,2.67916666666666,0,0
"768378",116.304166666667,2.17916666666666,0,0
"1166163",110.979166666667,-0.420833333333338,0,0
"335699",118.170833333334,5.00416666666666,0,0
"728494",113.829166666667,2.43749999999999,0,0
"594514",114.704166666667,3.31249999999999,0,0
"1415735",115.620833333334,-2.04583333333334,0,0
"1372009",113.054166666667,-1.7625,0,0
"981524",115.3625,0.787499999999995,1,1
"422220",115.545833333334,4.43749999999999,0,0
"967984",108.945833333333,0.870833333333328,0,0
"944323",113.9625,1.02916666666666,1,1
"1380732",111.254166666667,-1.82083333333334,0,0
"547420",115.995833333334,3.62083333333333,0,0
"919513",109.404166666667,1.18749999999999,0,0
"991589",114.104166666667,0.720833333333328,1,1
"348315",116.8875,4.92083333333333,0,0
"1299448",114.954166666667,-1.2875,0,0
"1215355",116.529166666667,-0.737500000000004,0,0
"706992",115.554166666667,2.57916666666666,0,0
"1070527",112.1375,0.204166666666662,0,0
"1159586",109.379166666667,-0.379166666666672,0,0
"1310703",112.970833333333,-1.36250000000001,0,0
"844589",112.895833333333,1.67916666666666,1,1
"437753",117.2875,4.33749999999999,0,0
"958032",111.145833333333,0.937499999999995,0,0
"1424470",113.920833333333,-2.10416666666667,0,0
"923711",112.4625,1.1625,0,0
"762734",111.8375,2.2125,0,0
"1077875",109.520833333333,0.154166666666661,0,0
"1621210",114.604166666667,-3.3875,0,0
"1375709",111.9625,-1.7875,0,0
"935081",111.4375,1.0875,0,0
"1093782",114.379166666667,0.0541666666666618,1,1
"976590",116.8125,0.820833333333328,0,0
"905266",118.379166666667,1.2875,0,0
"390191",114.679166666667,4.64583333333333,0,0
"973289",110.5875,0.837499999999995,0,0
"533305",115.429166666667,3.71249999999999,0,0
"324004",116.4875,5.07916666666666,0,0
"1462809",114.1625,-2.35416666666667,0,0
"953721",117.7875,0.970833333333328,0,0
"940522",114.2125,1.05416666666666,0,0
"1190424",110.9625,-0.579166666666671,0,0
"228358",117.5625,5.70416666666666,0,0
"396750",116.129166666667,4.60416666666666,0,0
"1084378",110.504166666667,0.112499999999995,0,0
"960327",108.9875,0.920833333333328,0,0
"566429",114.779166666667,3.49583333333333,0,0
"298752",118.8875,5.24583333333333,0,0
"849748",113.320833333333,1.64583333333333,0,0
"1637804",114.545833333334,-3.49583333333334,0,0
"1067950",111.945833333333,0.220833333333329,0,0
"923576",111.3375,1.1625,0,0
"1261207",115.529166666667,-1.0375,0,0
"1059205",113.5625,0.279166666666661,0,0
"800311",116.370833333334,1.97083333333333,0,0
"898723",117.0625,1.32916666666666,0,0
"1423066",112.8625,-2.09583333333334,0,0
"1461466",113.6125,-2.34583333333334,0,0
"341820",115.970833333334,4.96249999999999,0,0
"586940",115.4375,3.36249999999999,0,0
"579441",116.795833333334,3.41249999999999,0,0
"1501313",115.779166666667,-2.60416666666667,0,0
"859982",113.470833333333,1.57916666666666,0,0
"1162623",113.404166666667,-0.395833333333338,0,0
"864595",109.345833333333,1.54583333333333,0,0
"1400057",112.670833333333,-1.94583333333334,0,0
"278153",117.495833333334,5.37916666666666,0,0
"1489297",111.420833333333,-2.52916666666667,0,0
"907030",111.795833333333,1.27083333333333,0,0
"1144506",111.4125,-0.279166666666671,0,0
"530921",116.845833333334,3.72916666666666,0,0
"1038984",115.320833333334,0.412499999999995,0,0
"851914",110.0875,1.62916666666666,0,0
"873951",112.820833333333,1.48749999999999,1,1
"465796",116.8625,4.15416666666666,0,0
"1046557",114.579166666667,0.362499999999995,0,0
"995338",113.420833333333,0.695833333333328,0,0
"1178112",114.779166666667,-0.495833333333338,0,0
"1660833",114.904166666667,-3.64583333333334,0,0
"1572721",114.9125,-3.07083333333334,0,0
"915818",110.5375,1.2125,0,0
"1231816",115.3625,-0.845833333333338,0,0
"1166697",115.429166666667,-0.420833333333338,0,0
"969812",113.5375,0.862499999999995,0,0
"785743",112.029166666667,2.06249999999999,0,0
"760440",114.004166666667,2.22916666666666,0,0
"839757",115.195833333334,1.7125,1,1
"359629",115.395833333334,4.84583333333333,0,0
"1121736",113.2125,-0.129166666666672,0,0
"635223",113.4125,3.04583333333333,0,0
"942008",115.954166666667,1.04583333333333,0,0
"970385",118.3125,0.862499999999995,0,0
"929779",109.820833333333,1.12083333333333,0,0
"1203766",115.729166666667,-0.662500000000005,0,0
"932477",111.020833333333,1.10416666666666,0,0
"407006",116.4625,4.53749999999999,0,0
"572942",115.845833333334,3.45416666666666,0,0
"854723",112.2125,1.61249999999999,0,0
"867708",114.004166666667,1.52916666666666,0,0
"607355",115.295833333334,3.22916666666666,0,0
"1181687",112.645833333333,-0.520833333333338,0,0
"1393773",113.5125,-1.90416666666667,0,0
"1068984",109.920833333333,0.212499999999995,0,0
"801024",111.670833333333,1.9625,0,0
"1060201",111.220833333333,0.270833333333329,0,0
"1513833",113.695833333333,-2.6875,0,0
"311204",116.2375,5.16249999999999,0,0
"551299",116.395833333334,3.59583333333333,0,0
"1171922",116.404166666667,-0.454166666666671,0,0
"1422102",115.470833333334,-2.0875,0,0
"878723",110.020833333333,1.45416666666666,0,0
"1296416",110.970833333333,-1.27083333333334,0,0
"232033",116.2625,5.67916666666666,0,0
"1257190",113.979166666667,-1.01250000000001,0,0
"119827",117.679166666667,6.41249999999999,0,0
"520438",114.620833333334,3.79583333333333,0,0
"371101",115.220833333334,4.77083333333333,0,0
"1603260",114.004166666667,-3.27083333333334,0,0
"917795",116.370833333334,1.20416666666666,0,0
"1062977",113.070833333333,0.254166666666662,0,0
"1328330",110.879166666667,-1.47916666666667,0,0
"1232641",111.595833333333,-0.854166666666671,0,0
"1029854",113.729166666667,0.470833333333329,0,0
"1710654",115.054166666667,-3.97083333333334,0,0
"663672",116.370833333334,2.86249999999999,0,0
"1627586",114.529166666667,-3.42916666666667,0,0
"916085",112.7625,1.2125,0,0
"177235",117.204166666667,6.03749999999999,0,0
"1340021",112.529166666667,-1.55416666666667,0,0
"557447",114.420833333334,3.55416666666666,0,0
"1473291",116.379166666667,-2.42083333333334,0,0
"927863",115.1375,1.13749999999999,0,0
"1281443",113.895833333333,-1.17083333333334,0,0
"485977",114.770833333334,4.02083333333333,0,0
"1438088",110.345833333333,-2.19583333333334,0,0
"489800",114.704166666667,3.99583333333333,0,0
"1117093",117.0875,-0.0958333333333385,0,0
"1291359",111.395833333333,-1.23750000000001,0,0
"302267",116.254166666667,5.22083333333333,0,0
"1339848",111.0875,-1.55416666666667,0,0
"787654",117.3125,2.05416666666666,0,0
"1033301",110.529166666667,0.445833333333328,0,0
"1099129",116.370833333334,0.0208333333333286,0,0
"733417",112.2875,2.40416666666666,0,0
"1588040",114.870833333334,-3.17083333333334,0,0
"236099",118.220833333334,5.65416666666666,0,0
"1286448",113.0375,-1.20416666666667,0,0
"1311724",110.8375,-1.37083333333334,0,0
"1074894",116.604166666667,0.179166666666662,0,0
"821714",113.820833333333,1.82916666666666,0,0
"1222976",116.1875,-0.787500000000005,0,0
"888970",110.279166666667,1.38749999999999,0,0
"1258440",113.754166666667,-1.02083333333334,0,0
"618882",115.579166666667,3.15416666666666,1,1
"1562546",115.254166666667,-3.00416666666667,0,0
"478198",113.795833333333,4.07083333333333,0,0
"1313212",112.595833333333,-1.37916666666667,0,0
"212974",117.0625,5.80416666666666,0,0
"1040056",113.6125,0.404166666666661,1,1
"732229",113.029166666667,2.41249999999999,0,0
"1277857",115.9375,-1.14583333333334,0,0
"1277487",112.854166666667,-1.14583333333334,0,0
"1561157",114.320833333334,-2.99583333333334,0,0
"1535279",111.504166666667,-2.82916666666667,0,0
"1350576",115.354166666667,-1.62083333333334,0,0
"703000",114.2125,2.60416666666666,1,1
"858329",110.3375,1.5875,0,0
"669943",115.420833333334,2.82083333333333,0,0
"396854",116.995833333334,4.60416666666666,0,0
"1149586",111.179166666667,-0.312500000000004,0,0
"237142",116.270833333334,5.64583333333333,0,0
"192592",117.479166666667,5.93749999999999,0,0
