"","x","y","Real","Observed"
"1081796",110.270833333333,0.129166666666662,0,0
"1339927",111.745833333333,-1.55416666666667,1,1
"1192881",110.154166666667,-0.595833333333338,0,0
"566796",117.8375,3.49583333333333,0,0
"906836",110.179166666667,1.27083333333333,0,0
"439152",118.304166666667,4.32916666666666,0,0
"1108797",111.804166666667,-0.0458333333333378,0,0
"616352",115.779166666667,3.17083333333333,1,1
"1493654",115.804166666667,-2.55416666666667,0,0
"1259905",115.320833333334,-1.02916666666667,0,0
"1441143",114.520833333334,-2.2125,0,0
"569271",117.179166666667,3.47916666666666,0,0
"1261837",110.1375,-1.04583333333334,0,0
"1323281",111.370833333333,-1.44583333333334,0,0
"325365",117.1875,5.07083333333333,0,0
"633968",113.595833333333,3.05416666666666,0,0
"1120406",112.770833333333,-0.120833333333338,0,0
"1087620",116.2375,0.0958333333333288,0,0
"202661",116.254166666667,5.87083333333333,0,0
"1160002",112.845833333333,-0.379166666666672,0,0
"233534",118.129166666667,5.67083333333333,0,0
"1411419",111.579166666667,-2.02083333333334,0,0
"1507405",113.3375,-2.64583333333334,0,0
"1187908",111.279166666667,-0.562500000000004,0,0
"1154943",113.254166666667,-0.345833333333339,0,0
"799893",112.8875,1.97083333333333,0,0
"584282",114.570833333334,3.37916666666666,0,0
"879139",113.4875,1.45416666666666,0,0
"151708",117.3125,6.20416666666666,0,0
"896876",112.3125,1.3375,0,0
"1308314",114.345833333334,-1.34583333333334,0,0
"1600528",112.520833333333,-3.25416666666667,0,0
"1173156",116.045833333334,-0.462500000000005,0,0
"469752",117.904166666667,4.12916666666666,0,0
"680346",116.979166666667,2.75416666666666,0,0
"914575",110.820833333333,1.22083333333333,0,0
"1039954",112.7625,0.404166666666661,0,0
"1265691",110.329166666667,-1.07083333333334,0,0
"802932",116.929166666667,1.95416666666666,0,0
"1375945",113.929166666667,-1.7875,0,0
"1068064",112.895833333333,0.220833333333329,0,0
"1454854",111.720833333333,-2.30416666666667,0,0
"289708",118.0125,5.30416666666666,0,0
"641678",113.995833333333,3.00416666666666,0,0
"635260",113.720833333333,3.04583333333333,0,0
"1260650",110.8875,-1.0375,0,0
"963730",116.0625,0.904166666666661,1,1
"1273571",112.145833333333,-1.12083333333334,0,0
"599437",113.1625,3.27916666666666,0,0
"1387322",112.9625,-1.86250000000001,0,0
"974959",113.8625,0.829166666666661,0,0
"969643",112.129166666667,0.862499999999995,0,0
"962700",118.120833333334,0.912499999999995,0,0
"1319340",110.454166666667,-1.42083333333334,0,0
"726228",116.229166666667,2.45416666666666,1,1
"962898",109.129166666667,0.904166666666661,0,0
"1183023",113.1375,-0.529166666666671,0,0
"690266",114.5125,2.68749999999999,1,1
"1268467",112.179166666667,-1.0875,0,0
"1499608",112.2125,-2.59583333333334,0,0
"973094",108.9625,0.837499999999995,0,0
"1016094",116.120833333334,0.562499999999995,0,0
"561440",115.770833333334,3.52916666666666,1,1
"1236858",114.8125,-0.879166666666671,0,0
"496271",115.420833333334,3.95416666666666,0,0
"823251",115.9875,1.82083333333333,1,1
"941072",118.795833333334,1.05416666666666,0,0
"1267151",111.854166666667,-1.07916666666667,0,0
"1065168",110.045833333333,0.237499999999995,0,0
"857846",116.954166666667,1.59583333333333,0,0
"1010136",109.0375,0.595833333333329,0,0
"511657",115.9375,3.85416666666666,0,0
"980959",110.654166666667,0.787499999999995,0,0
"1078690",116.3125,0.154166666666661,0,0
"1043676",111.854166666667,0.379166666666662,0,0
"1035329",116.7875,0.437499999999995,0,0
"888500",117.004166666667,1.39583333333333,0,0
"875202",112.604166666667,1.47916666666666,0,0
"589504",115.520833333334,3.34583333333333,1,1
"1432152",114.0875,-2.15416666666667,0,0
"1387696",116.079166666667,-1.86250000000001,0,0
"774193",111.554166666667,2.13749999999999,0,0
"1398729",112.245833333333,-1.9375,0,0
"1329645",111.195833333333,-1.48750000000001,0,0
"1073493",115.570833333334,0.187499999999995,0,0
"199032",117.9375,5.89583333333333,0,0
"1715743",114.895833333334,-4.00416666666667,0,0
"1461487",113.7875,-2.34583333333334,0,0
"986199",111.754166666667,0.754166666666662,0,0
"329122",116.570833333334,5.04583333333333,0,0
"1403905",112.8125,-1.97083333333334,0,0
"647186",117.329166666667,2.97083333333333,0,0
"1160928",109.920833333333,-0.387500000000005,0,0
"500311",117.1625,3.92916666666666,0,0
"308819",117.645833333334,5.17916666666666,0,0
"693967",113.429166666667,2.66249999999999,0,0
"1145869",112.129166666667,-0.287500000000005,0,0
"879461",116.170833333334,1.45416666666666,1,1
"1441951",110.6125,-2.22083333333334,0,0
"998363",117.345833333334,0.679166666666662,0,0
"452884",115.679166666667,4.23749999999999,0,0
"1169034",113.620833333333,-0.437500000000004,0,0
"1132916",110.604166666667,-0.204166666666671,0,0
"1212092",110.620833333333,-0.720833333333338,0,0
"730735",111.220833333333,2.42083333333333,0,0
"1682557",115.029166666667,-3.7875,0,0
"1404076",114.2375,-1.97083333333334,0,0
"663514",115.054166666667,2.86249999999999,1,1
"1450124",114.870833333334,-2.27083333333334,0,0
"1404889",110.370833333333,-1.97916666666667,0,0
