"X","Y"
-1163372.53301786,2058565.94066886
-1052299.55063448,1840401.03700695
-1104700.5276715,1918178.68520888
-1330852.6334437,1737170.62759208
-946008.060906221,2162839.87442602
-951587.919852201,2020676.32197133
-1210836.66310475,2019026.40984266
-958979.295612928,2169935.86346035
-1107599.10240208,2173358.20246245
-991971.584828347,2091901.4837112
-1378837.91694326,1529472.63933039
-1253497.98087079,1735715.90369804
-1202919.42447568,1842392.37636673
-1351616.7162366,1719092.53789469
-1056734.89514636,1916097.6492379
-1232542.96911243,1772763.79391349
-1016282.32759101,2003494.05986466
-1303246.20956509,1743137.86810404
-893298.618742977,2229020.41582168
-1014088.43832951,1964847.5957248
-1215928.46137599,1829528.79123799
-1289301.47744859,1669341.74053533
-1063020.09298989,2070697.0320351
-1051075.68771819,1883135.16984727
-1268111.5086383,1655913.99206751
-926411.438972738,2207461.49806507
-978908.10812917,1912076.74404751
-989691.828766913,2049623.8235778
-1007481.75227527,1983961.73827686
-1067530.91042484,1914773.38855377
-1642332.87073866,1809407.82487996
-882982.067035533,1905545.75825433
-1203119.49268071,1756814.45058162
-1061743.0049577,2034010.06307651
-1273809.57355102,1727242.01819965
-904569.525236039,2239906.27590883
-1081167.8003923,1917131.64548882
-1000159.24243531,1926532.13500194
-944143.917304803,2131937.69977761
-998274.009304786,2006920.17228942
-988158.60728066,2086382.37249883
-1629862.89719013,1829083.13150028
-1329734.97107976,1610233.3446758
-767253.387314318,2296836.59822769
-1247065.25445019,1863384.53247209
-1258307.65123766,1873353.2932156
-1121871.71260796,2065767.84455829
-1130792.49934913,1770078.10149275
-987353.408211603,2230813.40095911
-895745.457911197,2344573.08091209
-1167797.97160588,2055572.07104752
-1106978.18571572,1955938.51035596
-1104992.9422389,1851815.31331901
-1131070.62063628,1898266.44583026
-1496319.89818289,1647351.82989119
-1050774.02179427,2084293.01140134
-1025549.93811057,1795710.02146258
-929060.431996925,2295171.68944157
-1024047.25488922,1991907.42059621
-1121780.71044371,2013945.34603401
-993008.192178124,1873713.27156779
-1143505.64578763,1820950.11352225
-1107054.47370068,2057835.61856289
-1462198.49607399,1554287.59880668
-1148277.08721909,2067610.03213922
-1256814.7595618,1837356.96057111
-1333211.54520891,1648325.40113389
-991828.178208106,1865215.83968564
-1084406.87574212,2110381.2579402
-1409731.21348174,1636238.07136399
-1005018.43363345,2101816.81654121
-945272.911250057,1963282.548603
-1113036.61658591,2022753.74079482
-941354.31099503,2189219.98809179
-939786.663808751,2020099.32865484
-1397902.59619,1885257.12531148
-1177962.16376759,1688217.6451097
-1036938.41951162,1865604.40970591
-1080243.149621,2095490.54622718
-898001.761538252,2047749.81988135
-1213504.64611343,1859053.72487982
-1161402.93457323,2078405.92228564
-1153797.84705432,1902148.25072782
